"from","to"
"ANAKIN","BERU"
"ANAKIN","CLIEGG"
"ANAKIN","JAR JAR"
"ANAKIN","JOBAL"
"ANAKIN","MACE WINDU"
"ANAKIN","OBI-WAN"
"ANAKIN","OWEN"
"ANAKIN","PADME"
"ANAKIN","RUWEE"
"ANAKIN","SHMI"
"ANAKIN","SOLA"
"ANAKIN","YODA"
"BAIL ORGANA","JAR JAR"
"BERU","CLIEGG"
"BERU","OWEN"
"BERU","PADME"
"CLIEGG","OWEN"
"CLIEGG","PADME"
"JAR JAR","OBI-WAN"
"JAR JAR","PADME"
"JOBAL","PADME"
"JOBAL","RUWEE"
"JOBAL","SOLA"
"LAMA SU","OBI-WAN"
"MACE WINDU","OBI-WAN"
"MACE WINDU","PADME"
"MACE WINDU","QUI-GON"
"MACE WINDU","YODA"
"OBI-WAN","PADME"
"OBI-WAN","YODA"
"OWEN","PADME"
"PADME","POGGLE"
"PADME","RUWEE"
"PADME","SOLA"
"PADME","YODA"
"RUWEE","SOLA"
